Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.800000	0.300000	0	4	50	t	0.38495955	0.15049440	0.74802993	0.35195681
0.800000	0.300000	0	4	50	n	0.30563259	0.15049440	0.63211668	0.35195681
0.800000	0.300000	0	2	50	t	0.37342139	0.13105822	0.78386021	0.31625086
0.800000	0.300000	0	4	one	n	0.26718831	0.13506370	0.54042232	0.31586453
0.800000	0.300000	0	2	one	n	0.27302151	0.11772036	0.65458026	0.30588989
0.800000	0.300000	0	5	50	t	0.37854775	0.15548189	0.73412480	0.36315268
0.800000	0.300000	0	3	50	n	0.29030803	0.14405167	0.64827614	0.33342322
0.800000	0.300000	0	3	all	t	0.36779410	0.14407501	0.75783202	0.33342581
0.800000	0.300000	0	5	one	n	0.26130559	0.14635041	0.50746879	0.31860516
0.800000	0.300000	0	1	1	t	0.39769644	0.09038233	0.83459750	0.28158723
0.800000	0.300000	0	2	50	n	0.29500583	0.13105822	0.68177931	0.31625086
0.800000	0.300000	0	2	75	n	0.29555852	0.12753321	0.68360173	0.31566229
0.800000	0.300000	0	5	one	t	0.38912002	0.15005908	0.74028047	0.36079839
0.800000	0.300000	0	3	75	t	0.36931582	0.14061487	0.76008504	0.33279316
0.800000	0.300000	0	2	one	t	0.37577720	0.12716835	0.78736621	0.31549116
0.800000	0.300000	0	4	all	t	0.38463427	0.15051774	0.74797362	0.35195941
0.800000	0.300000	0	5	75	t	0.38243922	0.15166871	0.73661851	0.36235409
0.800000	0.300000	0	3	all	n	0.29001230	0.14407501	0.64823216	0.33342581
0.800000	0.300000	0	2	all	t	0.37307759	0.13105822	0.78378969	0.31625086
0.800000	0.300000	0	5	all	t	0.37818319	0.15552011	0.73405867	0.36316565
0.800000	0.300000	0	5	50	n	0.29850409	0.15548189	0.61739061	0.36315268
0.800000	0.300000	0	4	75	t	0.38888220	0.14669727	0.75061655	0.35117896
Confidence	Reliability	NBC	Degree	Strategy	Typed	Precision	Recall	MirP	MirR
0.900000	0.300000	0	1	1	n	0.28404008	0.02765129	0.82719066	0.11498971
0.900000	0.300000	0	4	all	n	0.28261286	0.05278213	0.68347068	0.15203615
0.900000	0.300000	0	5	all	n	0.28399213	0.05545690	0.67399770	0.15931684
0.900000	0.300000	0	3	one	t	0.33714305	0.04621732	0.83696570	0.14129403
0.900000	0.300000	0	3	50	t	0.33218465	0.04796263	0.82779693	0.14260082
